Time	"Time Code"	"Country Name"	"Country Code"	"Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE]"	"CO2 emissions (kg per PPP $ of GDP) [EN.ATM.CO2E.PP.GD]"	"Access to electricity (% of population) [EG.ELC.ACCS.ZS]"	"Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS]"	"GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG]"	"Industry (including construction), value added per worker (constant 2010 US$) [NV.IND.EMPL.KD]"	"Agriculture, forestry, and fishing, value added per worker (constant 2010 US$) [NV.AGR.EMPL.KD]"	"Poverty gap at national poverty lines (%) [SI.POV.NAGP]"	"International tourism, receipts (% of total exports) [ST.INT.RCPT.XP.ZS]"	"Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS]"	"Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS]"	"Cause of death, by non-communicable diseases (% of total) [SH.DTH.NCOM.ZS]"	"Urban population (% of total population) [SP.URB.TOTL.IN.ZS]"	"Population, total [SP.POP.TOTL]"
2014	"YR2014"	"Greece"	"GRC"	""	"0.230279172746925"	"100"	"75.6132928113144"	"1.41305808475241"	"56927.4188320257"	"19218.2938775684"	""	"25.3475686655711"	"32.3730407059617"	"34.7764129846611"	""	"77.702"	"10892413"
2014	"YR2014"	"Greenland"	"GRL"	""	""	"100"	""	"5.05614234310217"	""	""	""	""	"38.4740768603849"	"48.617641527177"	""	"85.813"	"56295"
2014	"YR2014"	"Grenada"	"GRD"	""	"0.178877279499258"	"91.5256271362305"	""	"6.62254832205858"	""	""	""	"81.4890102063484"	"60.1550033867754"	"58.9063864385953"	""	"35.938"	"108902"
2014	"YR2014"	"Guam"	"GUM"	""	""	"100"	""	"1.34852801805248"	""	""	""	""	"19.1043698085952"	"59.2813289996389"	""	"94.449"	"161016"
2014	"YR2014"	"Guatemala"	"GTM"	""	"0.152395579746323"	"85.494371"	"31.425908667288"	"2.03208571757986"	"10999.0929550821"	"2851.24100288452"	""	"11.3153789772168"	"23.1584185549471"	"33.5594965547979"	""	"49.634"	"15923243"
2014	"YR2014"	"Guinea"	"GIN"	""	"0.113194103891712"	"29.9096736907959"	""	"1.30642059478079"	"10390.7322407765"	"571.460279624245"	""	"0.802782508306491"	"26.6885101439274"	"50.0834533856673"	""	"34.836"	"11150977"
2014	"YR2014"	"Guinea-Bissau"	"GNB"	""	"0.10642279600998"	"17.2"	""	"-1.67117159925397"	"2254.07605820905"	"875.054119624016"	""	"9.77041988089913"	"20.2074001359927"	"31.3856140517168"	""	"41.715"	"1692439"
2014	"YR2014"	"Guyana"	"GUY"	""	"0.360720376175204"	"86.9"	""	"3.28985776790169"	"12304.3983618397"	"9813.29304804943"	""	"5.86040686701926"	"43.8127444493584"	"72.1388181976999"	""	"26.414"	"763380"
2014	"YR2014"	"Haiti"	"HTI"	""	"0.154899223973809"	"39.4733581542969"	"91.2875121006776"	"1.36448212982312"	"9260.24194774178"	"862.702299209278"	""	"34.7749351777276"	"18.5172418195514"	"52.7327741391857"	""	"51.444"	"10549008"
2014	"YR2014"	"Honduras"	"HND"	""	"0.24047857763824"	"88.653773"	"56.1706892261757"	"1.2505917863932"	"5496.71602841077"	"2177.16009455625"	""	"10.4373470147041"	"47.5626547300206"	"65.4124425546899"	""	"54.514"	"8955589"
